Category,Attribute,Price,Currency,XCH_Equivalent,NFT_Edition,Trade_Date
"Head","SWAT Helmet",1,"XCH",1.0000,3684,"2026-01-07"
"Clothes","Leather Jacket",1,"XCH",1.0000,3684,"2026-01-07"
"Background","Orange Grove",1,"XCH",1.0000,3684,"2026-01-07"
"Base","Wojak",0.8,"XCH",0.8000,1721,"2026-01-10"
"Face","Rugged",0.8,"XCH",0.8000,1721,"2026-01-10"
"Mouth","Cohiba",0.8,"XCH",0.8000,1721,"2026-01-10"
"Face Wear","Cyber Shades",0.8,"XCH",0.8000,1721,"2026-01-10"
"Head","Construction Helmet",0.8,"XCH",0.8000,1721,"2026-01-10"
"Clothes","Sports Jacket",0.8,"XCH",0.8000,1721,"2026-01-10"
"Background","Mellow Yellow",0.8,"XCH",0.8000,1721,"2026-01-10"
"Base","Wojak",0.8,"XCH",0.8000,1185,"2026-01-07"
"Face","Rekt",0.8,"XCH",0.8000,1185,"2026-01-07"
"Mouth","Screaming",0.8,"XCH",0.8000,1185,"2026-01-07"
"Face Wear","Shades",0.8,"XCH",0.8000,1185,"2026-01-07"
"Head","Cap",0.8,"XCH",0.8000,1185,"2026-01-07"
"Clothes","Bepe Army",0.8,"XCH",0.8000,1185,"2026-01-07"
"Background","Hot Coral",0.8,"XCH",0.8000,1185,"2026-01-07"
"Base","Monkey Zoo",1.5,"XCH",1.5000,3538,"2026-01-10"
"Face","Rekt",1.5,"XCH",1.5000,3538,"2026-01-10"
"Mouth","Cohiba",1.5,"XCH",1.5000,3538,"2026-01-10"
"Face Wear","Matrix Lenses",1.5,"XCH",1.5000,3538,"2026-01-10"
"Head","Centurion",1.5,"XCH",1.5000,3538,"2026-01-10"
"Clothes","Roman Drip",1.5,"XCH",1.5000,3538,"2026-01-10"
"Background","Bepe Barracks",1.5,"XCH",1.5000,3538,"2026-01-10"
"Base","Wojak",0.88,"XCH",0.8800,1868,"2026-01-10"
"Face","Classic",0.88,"XCH",0.8800,1868,"2026-01-10"
"Mouth","Cig",0.88,"XCH",0.8800,1868,"2026-01-10"
"Face Wear","Wizard Glasses",0.88,"XCH",0.8800,1868,"2026-01-10"
"Head","Centurion",0.88,"XCH",0.8800,1868,"2026-01-10"
"Clothes","Wizard Drip",0.88,"XCH",0.8800,1868,"2026-01-10"
"Background","Chia Green",0.88,"XCH",0.8800,1868,"2026-01-10"
"Base","Wojak",1.69,"XCH",1.6900,422,"2026-01-07"
"Face","NPC",1.69,"XCH",1.6900,422,"2026-01-07"
"Mouth","Cig",1.69,"XCH",1.6900,422,"2026-01-07"
"Face Wear","Eye Patch",1.69,"XCH",1.6900,422,"2026-01-07"
"Head","Pirate Hat",1.69,"XCH",1.6900,422,"2026-01-07"
"Clothes","Viking Armor",1.69,"XCH",1.6900,422,"2026-01-07"
"Background","Pirate Ship",1.69,"XCH",1.6900,422,"2026-01-07"
"Base","Monkey Zoo",1.69,"XCH",1.6900,3633,"2026-01-07"
"Face","Rugged",1.69,"XCH",1.6900,3633,"2026-01-07"
"Mouth","Joint",1.69,"XCH",1.6900,3633,"2026-01-07"
"Face Wear","Matrix Lenses",1.69,"XCH",1.6900,3633,"2026-01-07"
"Head","Viking Helmet",1.69,"XCH",1.6900,3633,"2026-01-07"
"Clothes","Topless",1.69,"XCH",1.6900,3633,"2026-01-07"
"Background","Moms Basement",1.69,"XCH",1.6900,3633,"2026-01-07"
"Base","Wojak",0.8,"XCH",0.8000,1188,"2026-01-04"
"Face","Rekt",0.8,"XCH",0.8000,1188,"2026-01-04"
"Mouth","Teeth",0.8,"XCH",0.8000,1188,"2026-01-04"
"Face Wear","No Face Wear",0.8,"XCH",0.8000,1188,"2026-01-04"
"Head","Wizard Hat",0.8,"XCH",0.8000,1188,"2026-01-04"
"Clothes","Bepe Army",0.8,"XCH",0.8000,1188,"2026-01-04"
"Background","Golden Hour",0.8,"XCH",0.8000,1188,"2026-01-04"
"Base","Wojak",0.777,"XCH",0.7770,952,"2026-01-04"
"Face","Terminator",0.777,"XCH",0.7770,952,"2026-01-04"
"Mouth","Gold Teeth",0.777,"XCH",0.7770,952,"2026-01-04"
"Face Wear","Cyber Shades",0.777,"XCH",0.7770,952,"2026-01-04"
"Head","Spikes",0.777,"XCH",0.7770,952,"2026-01-04"
"Clothes","Super Saiyan Uniform",0.777,"XCH",0.7770,952,"2026-01-04"
"Background","Tangerine Pop",0.777,"XCH",0.7770,952,"2026-01-04"
"Base","Wojak",1,"XCH",1.0000,57,"2026-01-04"
"Face","Classic",1,"XCH",1.0000,57,"2026-01-04"
"Mouth","Stache",1,"XCH",1.0000,57,"2026-01-04"
"Face Wear","No Face Wear",1,"XCH",1.0000,57,"2026-01-04"
"Head","No Headgear",1,"XCH",1.0000,57,"2026-01-04"
"Clothes","Sonic Suit",1,"XCH",1.0000,57,"2026-01-04"
"Background","Mellow Yellow",1,"XCH",1.0000,57,"2026-01-04"
"Base","Papa Tang",0.8,"XCH",0.8000,3317,"2026-01-04"
"Face","Classic",0.8,"XCH",0.8000,3317,"2026-01-04"
"Mouth","Pizza",0.8,"XCH",0.8000,3317,"2026-01-04"
"Face Wear","Clown Nose",0.8,"XCH",0.8000,3317,"2026-01-04"
"Head","Clown",0.8,"XCH",0.8000,3317,"2026-01-04"
"Clothes","Sports Jacket",0.8,"XCH",0.8000,3317,"2026-01-04"
"Background","$LOVE",0.8,"XCH",0.8000,3317,"2026-01-04"
"Base","Alien Soyjak",4.69,"XCH",4.6900,3768,"2026-01-07"
"Face","Rekt",4.69,"XCH",4.6900,3768,"2026-01-07"
"Mouth","Pipe",4.69,"XCH",4.6900,3768,"2026-01-07"
"Face Wear","MOG Glasses",4.69,"XCH",4.6900,3768,"2026-01-07"
"Head","Wizard Hat",4.69,"XCH",4.6900,3768,"2026-01-07"
"Clothes","Wizard Drip",4.69,"XCH",4.6900,3768,"2026-01-07"
"Background","Hell",4.69,"XCH",4.6900,3768,"2026-01-07"
"Base","Wojak",39993,"BEPE",815.8572,1295,"2026-01-03"
"Face","Bleeding Bags",39993,"BEPE",815.8572,1295,"2026-01-03"
"Mouth","Gold Teeth",39993,"BEPE",815.8572,1295,"2026-01-03"
"Face Wear","Shades",39993,"BEPE",815.8572,1295,"2026-01-03"
"Head","Field Cap",39993,"BEPE",815.8572,1295,"2026-01-03"
"Clothes","Born to Ride",39993,"BEPE",815.8572,1295,"2026-01-03"
"Background","Sky Shock Blue",39993,"BEPE",815.8572,1295,"2026-01-03"
"Base","Wojak",33333,"BEPE",679.9932,1225,"2026-01-04"
"Face","Classic",33333,"BEPE",679.9932,1225,"2026-01-04"
"Mouth","Cohiba",33333,"BEPE",679.9932,1225,"2026-01-04"
"Face Wear","Alpha Shades",33333,"BEPE",679.9932,1225,"2026-01-04"
"Head","Cap",33333,"BEPE",679.9932,1225,"2026-01-04"
"Clothes","Born to Ride",33333,"BEPE",679.9932,1225,"2026-01-04"
"Background","Sky Dive",33333,"BEPE",679.9932,1225,"2026-01-04"
"Base","Soyjak",42069,"BEPE",858.2076,2189,"2026-01-03"
"Face","Classic",42069,"BEPE",858.2076,2189,"2026-01-03"
"Mouth","Vampire Teeth",42069,"BEPE",858.2076,2189,"2026-01-03"
"Face Wear","No Face Wear",42069,"BEPE",858.2076,2189,"2026-01-03"
"Head","Standard Cut",42069,"BEPE",858.2076,2189,"2026-01-03"
"Clothes","Drac",42069,"BEPE",858.2076,2189,"2026-01-03"
"Background","Tangerine Pop",42069,"BEPE",858.2076,2189,"2026-01-03"
"Base","Papa Tang",45954,"BEPE",937.4616,3254,"2026-01-04"
"Face","Rugged",45954,"BEPE",937.4616,3254,"2026-01-04"
"Mouth","Screaming",45954,"BEPE",937.4616,3254,"2026-01-04"
"Face Wear","MOG Glasses",45954,"BEPE",937.4616,3254,"2026-01-04"
"Head","No Headgear",45954,"BEPE",937.4616,3254,"2026-01-04"
"Clothes","Chia Farmer",45954,"BEPE",937.4616,3254,"2026-01-04"
"Background","Matrix",45954,"BEPE",937.4616,3254,"2026-01-04"
"Base","Bepe Wojak",2.5,"XCH",2.5000,3937,"2026-01-02"
"Face","Bleeding Bags",2.5,"XCH",2.5000,3937,"2026-01-02"
"Mouth","Screaming",2.5,"XCH",2.5000,3937,"2026-01-02"
"Face Wear","No Face Wear",2.5,"XCH",2.5000,3937,"2026-01-02"
"Head","Halo",2.5,"XCH",2.5000,3937,"2026-01-02"
"Clothes","God's Robe",2.5,"XCH",2.5000,3937,"2026-01-02"
"Background","Hell",2.5,"XCH",2.5000,3937,"2026-01-02"
"Base","Wojak",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Face","Classic",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Mouth","Copium Mask",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Face Wear","Ninja Turtle Mask",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Head","Centurion",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Clothes","Bepe Army",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Background","Chia Green",4269,"🪄⚡️",588.6951,1157,"2026-01-04"
"Base","Wojak",0.78,"XCH",0.7800,1464,"2026-01-02"
"Face","Classic",0.78,"XCH",0.7800,1464,"2026-01-02"
"Mouth","Teeth",0.78,"XCH",0.7800,1464,"2026-01-02"
"Face Wear","Shades",0.78,"XCH",0.7800,1464,"2026-01-02"
"Head","Super Wojak Hat",0.78,"XCH",0.7800,1464,"2026-01-02"
"Clothes","Chia Farmer",0.78,"XCH",0.7800,1464,"2026-01-02"
"Background","Price Up",0.78,"XCH",0.7800,1464,"2026-01-02"
"Base","Wojak",1.5,"XCH",1.5000,1842,"2026-01-02"
"Face","Rugged",1.5,"XCH",1.5000,1842,"2026-01-02"
"Mouth","Joint",1.5,"XCH",1.5000,1842,"2026-01-02"
"Face Wear","No Face Wear",1.5,"XCH",1.5000,1842,"2026-01-02"
"Head","Wizard Hat",1.5,"XCH",1.5000,1842,"2026-01-02"
"Clothes","Wizard Drip",1.5,"XCH",1.5000,1842,"2026-01-02"
"Background","Green Candle",1.5,"XCH",1.5000,1842,"2026-01-02"
"Base","Wojak",0.9,"XCH",0.9000,556,"2026-01-10"
"Face","Terminator",0.9,"XCH",0.9000,556,"2026-01-10"
"Mouth","Numb",0.9,"XCH",0.9000,556,"2026-01-10"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,556,"2026-01-10"
"Head","Field Cap",0.9,"XCH",0.9000,556,"2026-01-10"
"Clothes","Firefighter Uniform",0.9,"XCH",0.9000,556,"2026-01-10"
"Background","Tangerine Pop",0.9,"XCH",0.9000,556,"2026-01-10"
"Base","Soyjak",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Face","Classic",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Mouth","Numb",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Face Wear","Night Vision",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Head","Soy Hair",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Clothes","SWAT Gear",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Background","$BEPE",16000,"🪄⚡️",2206.4000,2350,"2026-01-04"
"Base","Soyjak",1,"XCH",1.0000,2731,"2026-01-01"
"Face","Rekt",1,"XCH",1.0000,2731,"2026-01-01"
"Mouth","Gold Teeth",1,"XCH",1.0000,2731,"2026-01-01"
"Face Wear","No Face Wear",1,"XCH",1.0000,2731,"2026-01-01"
"Head","Super Saiyan",1,"XCH",1.0000,2731,"2026-01-01"
"Clothes","Super Saiyan Uniform",1,"XCH",1.0000,2731,"2026-01-01"
"Background","$CHIA",1,"XCH",1.0000,2731,"2026-01-01"
"Base","Waifu",11111,"❤️",1308.8758,2938,"2026-01-03"
"Face","Classic",11111,"❤️",1308.8758,2938,"2026-01-03"
"Mouth","Sexy Lip Bite",11111,"❤️",1308.8758,2938,"2026-01-03"
"Face Wear","Alpha Shades",11111,"❤️",1308.8758,2938,"2026-01-03"
"Head","SWAT Helmet",11111,"❤️",1308.8758,2938,"2026-01-03"
"Clothes","Sports Jacket",11111,"❤️",1308.8758,2938,"2026-01-03"
"Background","$LOVE",11111,"❤️",1308.8758,2938,"2026-01-03"
"Base","Bepe Soyjak",4269,"HOA",1355.8344,4031,"2026-01-04"
"Face","Classic",4269,"HOA",1355.8344,4031,"2026-01-04"
"Mouth","Stunned",4269,"HOA",1355.8344,4031,"2026-01-04"
"Face Wear","VR Headset",4269,"HOA",1355.8344,4031,"2026-01-04"
"Head","No Headgear",4269,"HOA",1355.8344,4031,"2026-01-04"
"Clothes","Bepe Army",4269,"HOA",1355.8344,4031,"2026-01-04"
"Background","Mellow Yellow",4269,"HOA",1355.8344,4031,"2026-01-04"
"Base","Wojak",0.9,"XCH",0.9000,1116,"2026-01-10"
"Face","Terminator",0.9,"XCH",0.9000,1116,"2026-01-10"
"Mouth","Cig",0.9,"XCH",0.9000,1116,"2026-01-10"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,1116,"2026-01-10"
"Head","Centurion",0.9,"XCH",0.9000,1116,"2026-01-10"
"Clothes","Roman Drip",0.9,"XCH",0.9000,1116,"2026-01-10"
"Background","Sky Shock Blue",0.9,"XCH",0.9000,1116,"2026-01-10"
"Base","Wojak",2,"XCH",2.0000,836,"2025-12-31"
"Face","Classic",2,"XCH",2.0000,836,"2025-12-31"
"Mouth","Numb",2,"XCH",2.0000,836,"2025-12-31"
"Face Wear","Alpha Shades",2,"XCH",2.0000,836,"2025-12-31"
"Head","Ronin Helmet",2,"XCH",2.0000,836,"2025-12-31"
"Clothes","Ronin",2,"XCH",2.0000,836,"2025-12-31"
"Background","Ronin Dojo",2,"XCH",2.0000,836,"2025-12-31"
"Base","Wojak",0.9,"XCH",0.9000,977,"2025-12-31"
"Face","Classic",0.9,"XCH",0.9000,977,"2025-12-31"
"Mouth","Gold Teeth",0.9,"XCH",0.9000,977,"2025-12-31"
"Face Wear","Cool Glasses",0.9,"XCH",0.9000,977,"2025-12-31"
"Head","Viking Helmet",0.9,"XCH",0.9000,977,"2025-12-31"
"Clothes","Ninja Turtle Fit",0.9,"XCH",0.9000,977,"2025-12-31"
"Background","Chia Green",0.9,"XCH",0.9000,977,"2025-12-31"
"Base","Wojak",0.9,"XCH",0.9000,529,"2026-01-10"
"Face","Rekt",0.9,"XCH",0.9000,529,"2026-01-10"
"Mouth","Bubble Gum",0.9,"XCH",0.9000,529,"2026-01-10"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,529,"2026-01-10"
"Head","SWAT Helmet",0.9,"XCH",0.9000,529,"2026-01-10"
"Clothes","Firefighter Uniform",0.9,"XCH",0.9000,529,"2026-01-10"
"Background","$CHIA",0.9,"XCH",0.9000,529,"2026-01-10"
"Base","Soyjak",1.2,"XCH",1.2000,2527,"2025-12-31"
"Face","Classic",1.2,"XCH",1.2000,2527,"2025-12-31"
"Mouth","Neckbeard",1.2,"XCH",1.2000,2527,"2025-12-31"
"Face Wear","Laser Eyes",1.2,"XCH",1.2000,2527,"2025-12-31"
"Head","Wizard Hat",1.2,"XCH",1.2000,2527,"2025-12-31"
"Clothes","Wizard Drip",1.2,"XCH",1.2000,2527,"2025-12-31"
"Background","Silicon Data Center",1.2,"XCH",1.2000,2527,"2025-12-31"
"Base","Wojak",39993,"BEPE",815.8572,965,"2025-12-31"
"Face","Classic",39993,"BEPE",815.8572,965,"2025-12-31"
"Mouth","Pizza",39993,"BEPE",815.8572,965,"2025-12-31"
"Face Wear","Ninja Turtle Mask",39993,"BEPE",815.8572,965,"2025-12-31"
"Head","Hard Hat",39993,"BEPE",815.8572,965,"2025-12-31"
"Clothes","Ninja Turtle Fit",39993,"BEPE",815.8572,965,"2025-12-31"
"Background","Golden Hour",39993,"BEPE",815.8572,965,"2025-12-31"
"Base","Soyjak",39993,"BEPE",815.8572,2099,"2026-01-03"
"Face","Classic",39993,"BEPE",815.8572,2099,"2026-01-03"
"Mouth","Teeth",39993,"BEPE",815.8572,2099,"2026-01-03"
"Face Wear","Shades",39993,"BEPE",815.8572,2099,"2026-01-03"
"Head","No Headgear",39993,"BEPE",815.8572,2099,"2026-01-03"
"Clothes","Bepe Suit",39993,"BEPE",815.8572,2099,"2026-01-03"
"Background","Everythings Fine",39993,"BEPE",815.8572,2099,"2026-01-03"
"Base","Wojak",39993,"BEPE",815.8572,1478,"2026-01-04"
"Face","Rekt",39993,"BEPE",815.8572,1478,"2026-01-04"
"Mouth","Screaming",39993,"BEPE",815.8572,1478,"2026-01-04"
"Face Wear","Shades",39993,"BEPE",815.8572,1478,"2026-01-04"
"Head","Wizard Hat",39993,"BEPE",815.8572,1478,"2026-01-04"
"Clothes","Chia Farmer",39993,"BEPE",815.8572,1478,"2026-01-04"
"Background","Neo Mint",39993,"BEPE",815.8572,1478,"2026-01-04"
"Base","Wojak",0.9,"XCH",0.9000,351,"2026-01-10"
"Face","Classic",0.9,"XCH",0.9000,351,"2026-01-10"
"Mouth","Bubble Gum",0.9,"XCH",0.9000,351,"2026-01-10"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,351,"2026-01-10"
"Head","Beanie",0.9,"XCH",0.9000,351,"2026-01-10"
"Clothes","Straitjacket",0.9,"XCH",0.9000,351,"2026-01-10"
"Background","Sky Shock Blue",0.9,"XCH",0.9000,351,"2026-01-10"
"Base","Soyjak",0.9,"XCH",0.9000,2112,"2025-12-31"
"Face","Classic",0.9,"XCH",0.9000,2112,"2025-12-31"
"Mouth","Cig",0.9,"XCH",0.9000,2112,"2025-12-31"
"Face Wear","Alpha Shades",0.9,"XCH",0.9000,2112,"2025-12-31"
"Head","No Headgear",0.9,"XCH",0.9000,2112,"2025-12-31"
"Clothes","Proof of Prayer",0.9,"XCH",0.9000,2112,"2025-12-31"
"Background","Green Candle",0.9,"XCH",0.9000,2112,"2025-12-31"
"Base","Wojak",0.9,"XCH",0.9000,1471,"2026-01-10"
"Face","Rekt",0.9,"XCH",0.9000,1471,"2026-01-10"
"Mouth","Cohiba",0.9,"XCH",0.9000,1471,"2026-01-10"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,1471,"2026-01-10"
"Head","Construction Helmet",0.9,"XCH",0.9000,1471,"2026-01-10"
"Clothes","Chia Farmer",0.9,"XCH",0.9000,1471,"2026-01-10"
"Background","Neo Mint",0.9,"XCH",0.9000,1471,"2026-01-10"
"Base","Wojak",70000,"BEPE",1428.0000,497,"2026-01-12"
"Face","Terminator",70000,"BEPE",1428.0000,497,"2026-01-12"
"Mouth","Smile",70000,"BEPE",1428.0000,497,"2026-01-12"
"Face Wear","No Face Wear",70000,"BEPE",1428.0000,497,"2026-01-12"
"Head","SWAT Helmet",70000,"BEPE",1428.0000,497,"2026-01-12"
"Clothes","SWAT Gear",70000,"BEPE",1428.0000,497,"2026-01-12"
"Background","Bepe Barracks",70000,"BEPE",1428.0000,497,"2026-01-12"
"Base","Wojak",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Face","Terminator",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Mouth","Copium Mask",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Face Wear","No Face Wear",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Head","Viking Helmet",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Clothes","Chia Farmer",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Background","Chia Green",4269,"🪄⚡️",588.6951,1525,"2026-01-04"
"Base","Wojak",0.725,"XCH",0.7250,1626,"2025-12-30"
"Face","NPC",0.725,"XCH",0.7250,1626,"2025-12-30"
"Mouth","Teeth",0.725,"XCH",0.7250,1626,"2025-12-30"
"Face Wear","Ninja Turtle Mask",0.725,"XCH",0.7250,1626,"2025-12-30"
"Head","Fedora",0.725,"XCH",0.7250,1626,"2025-12-30"
"Clothes","Topless",0.725,"XCH",0.7250,1626,"2025-12-30"
"Background","Golden Hour",0.725,"XCH",0.7250,1626,"2025-12-30"
"Base","Baddie",1.5,"XCH",1.5000,3034,"2025-12-30"
"Face","Classic",1.5,"XCH",1.5000,3034,"2025-12-30"
"Mouth","Cohiba",1.5,"XCH",1.5000,3034,"2025-12-30"
"Face Wear","MOG Glasses",1.5,"XCH",1.5000,3034,"2025-12-30"
"Head","Tiara",1.5,"XCH",1.5000,3034,"2025-12-30"
"Clothes","Denim Vest",1.5,"XCH",1.5000,3034,"2025-12-30"
"Background","Radioactive Forest",1.5,"XCH",1.5000,3034,"2025-12-30"
"Base","Wojak",0.9,"XCH",0.9000,1738,"2026-01-10"
"Face","Bleeding Bags",0.9,"XCH",0.9000,1738,"2026-01-10"
"Mouth","Cohiba",0.9,"XCH",0.9000,1738,"2026-01-10"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,1738,"2026-01-10"
"Head","Pirate Hat",0.9,"XCH",0.9000,1738,"2026-01-10"
"Clothes","Sports Jacket",0.9,"XCH",0.9000,1738,"2026-01-10"
"Background","Sky Dive",0.9,"XCH",0.9000,1738,"2026-01-10"
"Base","Wojak",0.9,"XCH",0.9000,305,"2025-12-30"
"Face","Bleeding Bags",0.9,"XCH",0.9000,305,"2025-12-30"
"Mouth","Bubble Gum",0.9,"XCH",0.9000,305,"2025-12-30"
"Face Wear","VR Headset",0.9,"XCH",0.9000,305,"2025-12-30"
"Head","No Headgear",0.9,"XCH",0.9000,305,"2025-12-30"
"Clothes","Proof of Prayer",0.9,"XCH",0.9000,305,"2025-12-30"
"Background","Chia Green",0.9,"XCH",0.9000,305,"2025-12-30"
"Base","Soyjak",0.9,"XCH",0.9000,2292,"2026-01-10"
"Face","Classic",0.9,"XCH",0.9000,2292,"2026-01-10"
"Mouth","Numb",0.9,"XCH",0.9000,2292,"2026-01-10"
"Face Wear","Matrix Lenses",0.9,"XCH",0.9000,2292,"2026-01-10"
"Head","Centurion",0.9,"XCH",0.9000,2292,"2026-01-10"
"Clothes","Roman Drip",0.9,"XCH",0.9000,2292,"2026-01-10"
"Background","$CHIA",0.9,"XCH",0.9000,2292,"2026-01-10"
"Base","Bepe Soyjak",1,"XCH",1.0000,4028,"2025-12-30"
"Face","Classic",1,"XCH",1.0000,4028,"2025-12-30"
"Mouth","Cig",1,"XCH",1.0000,4028,"2025-12-30"
"Face Wear","No Face Wear",1,"XCH",1.0000,4028,"2025-12-30"
"Head","Hard Hat",1,"XCH",1.0000,4028,"2025-12-30"
"Clothes","Bepe Army",1,"XCH",1.0000,4028,"2025-12-30"
"Background","Bepe Barracks",1,"XCH",1.0000,4028,"2025-12-30"
"Base","Wojak",0.7,"XCH",0.7000,76,"2025-12-30"
"Face","NPC",0.7,"XCH",0.7000,76,"2025-12-30"
"Mouth","Numb",0.7,"XCH",0.7000,76,"2025-12-30"
"Face Wear","MOG Glasses",0.7,"XCH",0.7000,76,"2025-12-30"
"Head","Propeller Hat",0.7,"XCH",0.7000,76,"2025-12-30"
"Clothes","Tee",0.7,"XCH",0.7000,76,"2025-12-30"
"Background","Sky Dive",0.7,"XCH",0.7000,76,"2025-12-30"
"Base","Wojak",1.2,"XCH",1.2000,410,"2025-12-30"
"Face","Classic",1.2,"XCH",1.2000,410,"2025-12-30"
"Mouth","Neckbeard",1.2,"XCH",1.2000,410,"2025-12-30"
"Face Wear","Laser Eyes",1.2,"XCH",1.2000,410,"2025-12-30"
"Head","Tin Foil Hat",1.2,"XCH",1.2000,410,"2025-12-30"
"Clothes","Viking Armor",1.2,"XCH",1.2000,410,"2025-12-30"
"Background","Neo Mint",1.2,"XCH",1.2000,410,"2025-12-30"
"Base","Wojak",0.4,"XCH",0.4000,1590,"2025-12-30"
"Face","Rekt",0.4,"XCH",0.4000,1590,"2025-12-30"
"Mouth","Cohiba",0.4,"XCH",0.4000,1590,"2025-12-30"
"Face Wear","Clown Nose",0.4,"XCH",0.4000,1590,"2025-12-30"
